"rose_fanfic" "anne_fanfic" "anonymous_fanfic"
"picked" 0.0655307994757536 0.0654450261780105 0
"piece" 0.0655307994757536 0.0654450261780105 0
"pink" 0.0655307994757536 0 0.0575043128234618
"point" 0 0 0.115008625646924
"powerful" 0 0 0.115008625646924
"prize" 0 0 0.115008625646924
"problem" 0.131061598951507 0 0
"pulling" 0 0.0654450261780105 0.0575043128234618
"pushed" 0 0.0654450261780105 0.0575043128234618
"reaching" 0 0.130890052356021 0
"reading" 0 0.130890052356021 0
"reckon" 0 0 0.115008625646924
"seek" 0 0.130890052356021 0
"seen" 0 0.0654450261780105 0.0575043128234618
"serious" 0 0 0.115008625646924
"short" 0.131061598951507 0 0
"shouldn" 0.0655307994757536 0 0.0575043128234618
"shout" 0 0.0654450261780105 0.0575043128234618
"show" 0 0.130890052356021 0
"shrugged" 0 0.0654450261780105 0.0575043128234618
"simply" 0.0655307994757536 0 0.0575043128234618
"sleeping" 0 0 0.115008625646924
"slow" 0 0 0.115008625646924
"slowly" 0.0655307994757536 0.0654450261780105 0
"sofa" 0 0 0.115008625646924
"someone" 0.0655307994757536 0 0.0575043128234618
"sounded" 0 0.0654450261780105 0.0575043128234618
"spoke" 0 0.0654450261780105 0.0575043128234618
"spotted" 0.131061598951507 0 0
"stared" 0.0655307994757536 0.0654450261780105 0
"started" 0.131061598951507 0 0
"storm" 0 0 0.115008625646924
"strict" 0 0.0654450261780105 0.0575043128234618
"such" 0.131061598951507 0 0
"suggested" 0 0.130890052356021 0
"sure" 0 0.0654450261780105 0.0575043128234618
"take" 0.0655307994757536 0 0.0575043128234618
"takes" 0 0.0654450261780105 0.0575043128234618
"taking" 0 0 0.115008625646924
"terrified" 0.131061598951507 0 0
"tiny" 0 0 0.115008625646924
"today" 0 0.0654450261780105 0.0575043128234618
"told" 0 0.130890052356021 0
"track" 0 0.130890052356021 0
"trains" 0 0.130890052356021 0
"try" 0.0655307994757536 0 0.0575043128234618
"turning" 0.131061598951507 0 0
"under" 0.0655307994757536 0.0654450261780105 0
"us" 0.131061598951507 0 0
"usually" 0 0.0654450261780105 0.0575043128234618
"waited" 0.131061598951507 0 0
"weren" 0.131061598951507 0 0
"whole" 0.0655307994757536 0.0654450261780105 0
"winced" 0.0655307994757536 0 0.0575043128234618
"wished" 0.0655307994757536 0.0654450261780105 0
"without" 0 0 0.115008625646924
"won" 0 0.0654450261780105 0.0575043128234618
"world" 0.0655307994757536 0 0.0575043128234618
"worse" 0 0.130890052356021 0
"worst" 0.0655307994757536 0 0.0575043128234618
"year" 0.0655307994757536 0 0.0575043128234618
"yet" 0 0 0.115008625646924
"yourself" 0 0.0654450261780105 0.0575043128234618
"aaah" 0 0 0.0575043128234618
"accused" 0.0655307994757536 0 0
"across" 0 0.0654450261780105 0
"add" 0 0.0654450261780105 0
"adoration" 0 0 0.0575043128234618
"advise" 0 0.0654450261780105 0
"against" 0.0655307994757536 0 0
"ages" 0 0.0654450261780105 0
"aggressively" 0 0 0.0575043128234618
"agree" 0 0.0654450261780105 0
"ahead" 0.0655307994757536 0 0
"air" 0 0 0.0575043128234618
"alarm" 0 0 0.0575043128234618
"alarmed" 0 0 0.0575043128234618
"alone" 0.0655307994757536 0 0
"alright" 0 0.0654450261780105 0
"amazement" 0 0 0.0575043128234618
"amazing" 0 0 0.0575043128234618
"amused" 0 0 0.0575043128234618
"angry" 0.0655307994757536 0 0
"ankles" 0 0 0.0575043128234618
"annoying" 0.0655307994757536 0 0
"another" 0 0.0654450261780105 0
"anxiety" 0 0 0.0575043128234618
"anyway" 0 0.0654450261780105 0
"apart" 0 0 0.0575043128234618
"appeared" 0 0 0.0575043128234618
"approach" 0.0655307994757536 0 0
"approached" 0.0655307994757536 0 0
"aren" 0 0.0654450261780105 0
"arrival" 0 0 0.0575043128234618
"arrived" 0 0 0.0575043128234618
"arthur" 0.0655307994757536 0 0
"ashamed" 0.0655307994757536 0 0
"asking" 0 0 0.0575043128234618
"assume" 0.0655307994757536 0 0
"auror" 0.0655307994757536 0 0
"awaiting" 0 0 0.0575043128234618
"aware" 0 0 0.0575043128234618
"awed" 0 0 0.0575043128234618
"awfully" 0 0.0654450261780105 0
"awkwardly" 0.0655307994757536 0 0
"babbling" 0 0 0.0575043128234618
"baffled" 0.0655307994757536 0 0
"bagsy" 0 0 0.0575043128234618
"ball" 0 0 0.0575043128234618
"batty" 0 0 0.0575043128234618
"beat" 0 0 0.0575043128234618
"beautiful" 0.0655307994757536 0 0
"became" 0 0 0.0575043128234618
"beckoning" 0 0.0654450261780105 0
"bedraggled" 0 0 0.0575043128234618
"began" 0.0655307994757536 0 0
"begged" 0.0655307994757536 0 0
"behind" 0.0655307994757536 0 0
"believe" 0 0 0.0575043128234618
"believing" 0.0655307994757536 0 0
"bewildered" 0.0655307994757536 0 0
"biting" 0.0655307994757536 0 0
"blood" 0 0 0.0575043128234618
"bloody" 0 0 0.0575043128234618
"blow" 0 0.0654450261780105 0
"book" 0 0.0654450261780105 0
"books" 0 0 0.0575043128234618
"bothered" 0 0.0654450261780105 0
"bounded" 0.0655307994757536 0 0
"boyfriend" 0.0655307994757536 0 0
"boyfriends" 0.0655307994757536 0 0
"brat" 0 0 0.0575043128234618
"brave" 0.0655307994757536 0 0
"breakfast" 0 0.0654450261780105 0
"breathlessly" 0.0655307994757536 0 0
"broadly" 0 0 0.0575043128234618
"brooms" 0.0655307994757536 0 0
"brothers" 0.0655307994757536 0 0
"brought" 0.0655307994757536 0 0
"built" 0 0.0654450261780105 0
"cage" 0.0655307994757536 0 0
"call" 0 0 0.0575043128234618
"calling" 0.0655307994757536 0 0
"care" 0.0655307994757536 0 0
"carefully" 0 0 0.0575043128234618
"carried" 0 0 0.0575043128234618
"cats" 0.0655307994757536 0 0
"cause" 0.0655307994757536 0 0
"cave" 0 0 0.0575043128234618
"chance" 0 0.0654450261780105 0
"charmingly" 0.0655307994757536 0 0
"chatterbox" 0.0655307994757536 0 0
"cheerful" 0.0655307994757536 0 0
"cheerfully" 0 0 0.0575043128234618
"child" 0 0 0.0575043128234618
"childbirth" 0 0 0.0575043128234618
"children" 0.0655307994757536 0 0
"chin" 0 0 0.0575043128234618
"clapped" 0 0 0.0575043128234618
"claps" 0 0 0.0575043128234618
"close" 0 0.0654450261780105 0
"closed" 0 0 0.0575043128234618
"clung" 0 0.0654450261780105 0
"cobbled" 0 0 0.0575043128234618
"cocking" 0 0.0654450261780105 0
"cocky" 0 0 0.0575043128234618
"coming" 0.0655307994757536 0 0
"company" 0 0.0654450261780105 0
"confused" 0.0655307994757536 0 0
"congratulations" 0 0 0.0575043128234618
"conscious" 0 0 0.0575043128234618
"considered" 0.0655307994757536 0 0
"control" 0.0655307994757536 0 0
"conversation" 0 0 0.0575043128234618
"convinced" 0.0655307994757536 0 0
"coolest" 0 0 0.0575043128234618
"cope" 0.0655307994757536 0 0
"cozy" 0 0.0654450261780105 0
"crack" 0 0 0.0575043128234618
"cradle" 0 0 0.0575043128234618
"cradling" 0 0 0.0575043128234618
"cramped" 0 0.0654450261780105 0
"crawled" 0.0655307994757536 0 0
"creaky" 0 0.0654450261780105 0
"create" 0 0 0.0575043128234618
"criminals" 0.0655307994757536 0 0
"croaky" 0.0655307994757536 0 0
"cross" 0.0655307994757536 0 0
"curled" 0 0 0.0575043128234618
"curse" 0.0655307994757536 0 0
"daddy" 0.0655307994757536 0 0
"dappled" 0 0 0.0575043128234618
"darkly" 0 0 0.0575043128234618
"dating" 0.0655307994757536 0 0
"day" 0 0.0654450261780105 0
"deal" 0.0655307994757536 0 0
"death" 0.0655307994757536 0 0
"decide" 0 0.0654450261780105 0
"decided" 0 0 0.0575043128234618
"defeated" 0.0655307994757536 0 0
"defeating" 0.0655307994757536 0 0
"definitely" 0 0 0.0575043128234618
"deliver" 0 0 0.0575043128234618
"department" 0.0655307994757536 0 0
"despairingly" 0 0 0.0575043128234618
"desperate" 0.0655307994757536 0 0
"desperately" 0 0 0.0575043128234618
"dibs" 0 0 0.0575043128234618
"difference" 0 0.0654450261780105 0
"difficult" 0 0 0.0575043128234618
"dimpled" 0 0 0.0575043128234618
"direction" 0 0.0654450261780105 0
"discourages" 0.0655307994757536 0 0
"dishes" 0 0.0654450261780105 0
"dismissively" 0 0 0.0575043128234618
"distant" 0 0 0.0575043128234618
"djibouti" 0.0655307994757536 0 0
"dog" 0 0 0.0575043128234618
"dragon" 0 0.0654450261780105 0
"draw" 0 0.0654450261780105 0
"drenched" 0 0 0.0575043128234618
"drive" 0.0655307994757536 0 0
"driver" 0.0655307994757536 0 0
"driving" 0.0655307994757536 0 0
"drop" 0 0 0.0575043128234618
"dryer" 0 0 0.0575043128234618
"drying" 0 0.0654450261780105 0
