Experiment title,Actual title,Author,Link
Anne’s fanfic,Patient,likehandlingroses,https://archiveofourown.org/works/19242301
Rose’s fanfic,Saying Hello ,FloreatCastellum,https://archiveofourown.org/works/18672805
Anonymous fanfic,Godfather,FloreatCastellum,https://archiveofourown.org/works/20496251
